iter	Passed	Remaining
0	138	138045
1	140	69887
2	143	47749
3	145	36128
4	146	29151
5	148	24666
6	151	21534
7	153	19000
8	154	17019
9	155	15432
10	157	14150
11	158	13080
12	160	12190
13	162	11452
14	164	10825
15	166	10233
16	169	9806
17	171	9337
18	174	8989
19	175	8601
20	178	8320
21	180	8008
22	183	7795
23	184	7519
24	186	7261
25	187	7022
26	188	6801
27	190	6595
28	194	6519
29	196	6346
30	197	6181
31	199	6025
32	202	5935
33	203	5794
34	205	5662
35	206	5535
36	211	5501
37	212	5385
38	214	5284
39	215	5179
40	217	5079
41	218	4989
42	220	4898
43	221	4811
44	224	4760
45	225	4685
46	228	4628
47	229	4556
48	231	4485
49	232	4416
50	233	4349
51	234	4283
52	239	4286
53	241	4224
54	242	4166
55	243	4109
56	246	4075
57	247	4022
58	249	3971
59	250	3920
60	251	3871
61	255	3871
62	257	3827
63	258	3783
64	264	3808
65	272	3850
66	276	3844
67	279	3837
68	289	3899
69	294	3916
70	299	3916
71	306	3947
72	308	3914
73	310	3882
74	312	3848
75	319	3882
76	322	3861
77	324	3835
78	329	3842
79	336	3870
80	337	3833
81	339	3799
82	340	3757
83	341	3722
84	342	3689
85	344	3656
86	345	3628
87	349	3625
88	351	3594
89	352	3563
90	353	3532
91	354	3503
92	356	3474
93	358	3450
94	359	3423
95	360	3396
96	363	3382
97	364	3357
98	368	3349
99	369	3323
100	370	3298
101	371	3274
102	373	3250
103	377	3251
104	379	3232
105	380	3212
106	382	3195
107	386	3192
108	387	3170
109	389	3148
110	391	3131
111	396	3143
112	397	3122
113	399	3102
114	400	3081
115	401	3061
116	404	3055
117	406	3036
118	408	3026
119	410	3009
120	413	3003
121	414	2982
122	415	2964
123	417	2947
124	418	2930
125	419	2912
126	423	2913
127	425	2899
128	426	2882
129	428	2865
130	429	2849
131	431	2838
132	433	2822
133	434	2806
134	435	2791
135	436	2775
136	439	2770
137	441	2758
138	442	2743
139	444	2728
140	445	2714
141	446	2697
142	447	2684
143	451	2681
144	452	2667
145	455	2662
146	456	2650
147	459	2644
148	460	2632
149	462	2619
150	463	2605
151	464	2593
152	466	2580
153	470	2583
154	472	2574
155	473	2562
156	475	2551
157	478	2551
158	480	2540
159	481	2529
160	482	2515
161	484	2505
162	487	2501
163	488	2489
164	489	2478
165	491	2467
166	494	2467
167	496	2457
168	498	2449
169	502	2452
170	505	2450
171	509	2453
172	512	2450
173	517	2456
174	528	2490
175	544	2548
176	554	2579
177	556	2570
178	559	2567
179	562	2560
180	563	2551
181	565	2540
182	566	2529
183	568	2520
184	569	2510
185	572	2504
186	575	2502
187	577	2495
188	579	2487
189	581	2477
190	582	2467
191	583	2457
192	587	2455
193	589	2447
194	591	2440
195	592	2432
196	596	2430
197	597	2420
198	599	2411
199	600	2402
200	602	2396
201	608	2402
202	609	2392
203	610	2383
204	612	2374
205	614	2369
206	616	2361
207	618	2353
208	619	2345
209	621	2338
210	628	2348
211	629	2340
212	631	2332
213	633	2326
214	634	2318
215	636	2309
216	640	2310
217	643	2308
218	645	2300
219	646	2292
220	647	2283
221	649	2274
222	654	2280
223	656	2273
224	657	2265
225	659	2257
